area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,"Adabor, Dhaka",2 BHK,N/A,1255,2,1,56.7
Super built-up  Area,Ready To Move,"Block B, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",3 BHK,N/A,1525,2,2,65
Super built-up  Area,17-Aug,"Maghbazar, Dhaka",2 BHK,N/A,1061,2,1,38.95
Plot  Area,19-Mar,"West Shewrapara, Mirpur, Dhaka",2 Bedroom,N/A,600,2,2,29.5
Super built-up  Area,18-May,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",3 BHK,N/A,1400,2,2,40.45
Super built-up  Area,Ready To Move,"Paikpara, Ahmed Nagar, Mirpur, Dhaka",3 BHK,N/A,2100,3,2,145
Super built-up  Area,Ready To Move,"Amligola, Lalbagh, Dhaka",2 BHK,N/A,660,1,1,16.5
Built-up  Area,Ready To Move,"Middle Paikpara, Mirpur, Dhaka",2 BHK,N/A,633,1,1,18
Super built-up  Area,Ready To Move,"Chairman Para, Dakshin Khan, Dhaka",2 BHK,N/A,1260,2,3,120
Super built-up  Area,Ready To Move,"Jhilpar, Middle Pirerbag, Pirerbag, Mirpur, Dhaka",2 BHK,N/A,854 - 960,2,0,55.43
Super built-up  Area,18-Oct,"Mohammadia Housing Society, Mohammadpur, Dhaka",3 BHK,N/A,2047,3,2,67.55
Built-up  Area,Ready To Move,"Mohammadia Housing Society, Mohammadpur, Dhaka",4 BHK,N/A,2597,4,3,189
Built-up  Area,Ready To Move,"Block F, Bashundhara R-A, Dhaka",2 BHK,N/A,1211,2,1,63
Super built-up  Area,Ready To Move,"Block G, Bashundhara R-A, Dhaka",3 BHK,N/A,1904,3,2,129
Super built-up  Area,20-Jan,"East Goran, Goran, Khilgaon, Dhaka",2 BHK,N/A,1205,2,1,73.87
Super built-up  Area,Ready To Move,"1st Colony, Mirpur, Dhaka",2 BHK,N/A,1164,2,2,64.08
Super built-up  Area,Ready To Move,"Block L, Bashundhara R-A, Dhaka",2 BHK,N/A,1410,2,2,73
Built-up  Area,Ready To Move,"Mirpur, Dhaka",2 BHK,N/A,1150,2,1,42
Super built-up  Area,18-Jul,"Section 10, Mirpur, Dhaka",2 BHK,N/A,1170,2,2,53.11
Built-up  Area,Ready To Move,"Baridhara DOHS, Dhaka",2 BHK,N/A,1420,2,1,62
Super built-up  Area,Ready To Move,"North Goran, Khilgaon, Dhaka",2 BHK,N/A,1125,2,2,45
Built-up  Area,Ready To Move,"Maghbazar, Dhaka",3 BHK,N/A,1789,3,3,75
Super built-up  Area,Ready To Move,"Block C, Bashundhara R-A, Dhaka",2 BHK,N/A,1021,2,1,76
Super built-up  Area,18-May,"Ward 23, Chowdhuripara, Khilgaon, Dhaka",2 BHK,N/A,1074,2,2,26.85
Super built-up  Area,Ready To Move,"Block F, Bashundhara R-A, Dhaka",2 BHK,N/A,1222,2,3,48
Super built-up  Area,Ready To Move,"Block C, Section 13, Mirpur, Dhaka",3 BHK,N/A,1981,3,1,134
Built-up  Area,Ready To Move,"Block D, Section 1, Mirpur, Dhaka",2 BHK,N/A,1103,2,2,55
Super built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,1201,2,1,65
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",2 BHK,N/A,970,2,1,36
Super built-up  Area,Ready To Move,"Block E, Arambag Residential Area, Pallabi, Mirpur, Dhaka",2 BHK,N/A,920,2,2,33
Super built-up  Area,Ready To Move,"Section 1, Mirpur, Dhaka",3 BHK,N/A,1520,3,3,85
Plot  Area,Ready To Move,"North Goran, Goran, Khilgaon, Dhaka",3 Bedroom,N/A,675,3,2,75
Super built-up  Area,17-Nov,"Kallyanpur, Mirpur, Dhaka",3 BHK,N/A,1268,2,1,75
Super built-up  Area,Ready To Move,"Kallyanpur, Mirpur, Dhaka",1 BHK,N/A,660,1,0,30
Super built-up  Area,Ready To Move,"Kallyanpur, Mirpur, Dhaka",3 BHK,N/A,1755,3,2,115
Super built-up  Area,Ready To Move,"Natun Bazar, Badda, Dhaka",2 BHK,N/A,945,2,1,35
Carpet  Area,18-Jul,"East Kazipara, Mirpur, Dhaka",1 BHK,N/A,500,1,1,33
Super built-up  Area,Ready To Move,"Sector 9, Uttara, Dhaka",4 BHK,N/A,2650 - 2990,4,0,153.5
Built-up  Area,Ready To Move,"Sector 5, Uttara, Dhaka",4 Bedroom,N/A,1632,3,0,140
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",2 BHK,N/A,1167,2,2,37.5
Super built-up  Area,Ready To Move,"Block C, Banasree, Dhaka",2 BHK,N/A,1276,2,2,80
Built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",2 BHK,N/A,1234,2,2,51
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",2 BHK,N/A,1180,2,1,75
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",3 BHK,N/A,1370,2,2,87
Super built-up  Area,18-Sep,"Wari, Sutrapur, Dhaka",2 BHK,N/A,1015,2,2,25.88
Plot  Area,Ready To Move,"Chairman Para, Dakshin Khan, Dhaka",9 Bedroom,N/A,1200,9,3,230
Built-up  Area,Ready To Move,"Jhilpar, Middle Pirerbag, Pirerbag, Mirpur, Dhaka",3 Bedroom,N/A,1400,3,1,90
Plot  Area,Ready To Move,"Block A, Sayednagar, East Vatara, Vatara, Badda, Dhaka",5 Bedroom,N/A,1500,6,3,155
Plot  Area,Ready To Move,"Chairman Para, Dakshin Khan, Dhaka",2 Bedroom,N/A,1050,2,0,40
Super built-up  Area,18-Jul,"Sector 3, Uttara, Dhaka",2 BHK,N/A,1251,2,1,46
Super built-up  Area,Ready To Move,"Sector 5, Uttara, Dhaka",3 BHK,N/A,1677,3,,92.13
Super built-up  Area,19-Mar,"Avenue 4, Mirpur DOHS, Mirpur, Dhaka",2 BHK,N/A,1346,2,1,67.38
Built-up  Area,18-Jul,"Mirpur, Dhaka",2 BHK,N/A,1090,2,1,31.48
Plot  Area,Ready To Move,"Mohammadpur, Dhaka",5 Bedroom,N/A,1200,4,3,240
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",3 BHK,N/A,1290,2,3,51.1
Super built-up  Area,18-Jul,"Shyamoli, Dhaka",5 BHK,N/A,7514,7,,1500
Super built-up  Area,Ready To Move,"Block B, Sayednagar, East Vatara, Vatara, Badda, Dhaka",3 BHK,N/A,1881,3,2,145
Super built-up  Area,Ready To Move,"Block B, Section 2, Mirpur, Dhaka",2 BHK,N/A,1150,2,2,52
Plot  Area,Ready To Move,"Nadda, Dhaka",2 Bedroom,N/A,1.25Acres,2,2,200
Built-up  Area,Ready To Move,"Nadda, Dhaka",3 Bedroom,N/A,2690,3,2,295
Super built-up  Area,Ready To Move,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",3 BHK,N/A,1200,2,2,42
Super built-up  Area,Ready To Move,"aziz Moholla, Mohammadpur, Dhaka",2 BHK,N/A,86.72Sq. Meter,2,2,40
Super built-up  Area,Ready To Move,"Block C, Section 2, Mirpur, Dhaka",3 BHK,N/A,2735,4,2,340
Built-up  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",2 BHK,N/A,950,2,0,65
Built-up  Area,Ready To Move,"Joar Sahara, Dhaka",3 BHK,N/A,1491,3,3,40.5
Super built-up  Area,19-Jul,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",2 BHK,N/A,1050,2,1,51.66
Super built-up  Area,22-Jun,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",3 BHK,N/A,1660,3,2,131
Super built-up  Area,Ready To Move,"Rajabazar, Tejgaon, Dhaka",2 BHK,N/A,1134,2,2,55
Built-up  Area,Ready To Move,"Rajabazar, Tejgaon, Dhaka",2 BHK,N/A,1100,2,1,60
Plot  Area,Ready To Move,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",4 Bedroom,N/A,800,4,,60
Plot  Area,19-May,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",2 Bedroom,N/A,1200,2,1,36.1
Plot  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",4 Bedroom,N/A,1200,4,3,240
Plot  Area,Ready To Move,"Nurer Chala, Badda, Dhaka",3 Bedroom,N/A,980,3,1,80
Super built-up  Area,Ready To Move,"Joar Sahara, Dhaka",2 BHK,N/A,1080,2,1,37.8
Super built-up  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",1 BHK,N/A,705,2,1,50
Super built-up  Area,Ready To Move,"East Shewrapara, Mirpur, Dhaka",3 BHK,N/A,1200,2,2,35
Super built-up  Area,Ready To Move,"Nurer Chala, Badda, Dhaka",2 BHK,N/A,1200,2,1,50
Super built-up  Area,21-Dec,"Block B, South Banasree Project, Banasree, Dhaka",3 BHK,N/A,1804,3,2,127
Built-up  Area,Ready To Move,"Block B, South Banasree Project, Banasree, Dhaka",2 BHK,N/A,750,2,0,20
Super built-up  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",2 BHK,N/A,420,1,1,25
Built-up  Area,Ready To Move,"Block A, Section 12, Mirpur, Dhaka",4 BHK,N/A,2800,4,2,252
Super built-up  Area,18-May,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,1090,2,2,38.37
Plot  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",2 Bedroom,N/A,1500,2,0,230
Built-up  Area,Ready To Move,"Khilkhet, Dhaka",3 BHK,N/A,1287,3,1,55
Super built-up  Area,Ready To Move,"Shahjahanpur, Dhaka",3 BHK,N/A,2215,4,2,157
Plot  Area,Ready To Move,"Dhanmondi, Dhaka",4 Bedroom,N/A,2800,4,,375
Built-up  Area,Ready To Move,"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",2 BHK,N/A,1045,2,2,42.15
Super built-up  Area,19-Jul,"Kalachandpur, Dhaka",2 BHK,N/A,1263,2,1,47.36
Super built-up  Area,Ready To Move,"Ali And Nur Real Estate, Mohammadpur, Dhaka",3 BHK,N/A,1431,3,2,85
Super built-up  Area,Ready To Move,"Block C, Bashundhara R-A, Dhaka",2 BHK,N/A,999,2,2,32.9
Super built-up  Area,Ready To Move,"Nayatola, Maghbazar, Dhaka",3 BHK,N/A,1650,3,2,85.5
Super built-up  Area,Ready To Move,"Khilgaon, Dhaka",3 BHK,N/A,1535,3,1,72
Super built-up  Area,18-Apr,"Sector 12, Uttara, Dhaka",4 BHK,N/A,2524,5,2,180
Super built-up  Area,21-Dec,"Sector 12, Uttara, Dhaka",3 BHK,N/A,1300,3,2,69
Plot  Area,Ready To Move,"Uttar Badda, Badda, Dhaka",3 Bedroom,N/A,600,3,2,125
Super built-up  Area,Ready To Move,"Shyamoli Housing (2nd Project), Adabor, Dhaka",3 BHK,N/A,2095,3,2,150
Super built-up  Area,Ready To Move,"Shyamoli Housing (2nd Project), Adabor, Dhaka",1 BHK,N/A,284,1,1,8
Super built-up  Area,18-Jun,"Block E, Section 12, Mirpur, Dhaka",1 BHK,N/A,500,1,1,14
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",2 BHK,N/A,1265,2,2,68
Super built-up  Area,Ready To Move,"Block A, Section 10, Mirpur, Dhaka",2 BHK,N/A,1215,2,1,44.96
Plot  Area,Ready To Move,"Shahjahanpur, Dhaka",2 Bedroom,N/A,2200,2,0,180
Built-up  Area,Ready To Move,"Avenue 2, Mirpur DOHS, Mirpur, Dhaka",2 BHK,N/A,1028,2,1,51
Super built-up  Area,Ready To Move,"Avenue 8, Mirpur DOHS, Mirpur, Dhaka",3 BHK,N/A,1835,2,,92
Super built-up  Area,Ready To Move,"Jahuri Moholla, Mohammadpur, Dhaka",3 BHK,N/A,1800,3,3,65
Super built-up  Area,18-May,"Block B, Bochila West Dhanmondi R/A, Bochila, Mohammadpur, Dhaka",3 BHK,N/A,2077,3,3,175
Plot  Area,Ready To Move,"Bochila, Mohammadpur, Dhaka",4 Bedroom,N/A,2880,3,2,211
Built-up  Area,Ready To Move,"Avenue 12, Mirpur DOHS, Mirpur, Dhaka",6 BHK,N/A,499,5,0,89
Super built-up  Area,Ready To Move,"Shahjahanpur, Dhaka",2 BHK,N/A,708,2,1,31.15
Super built-up  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",2 BHK,N/A,1200,2,3,120
Built-up  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",2 BHK,N/A,925,2,1,46.25
Built-up  Area,18-Mar,"Block B, Section 12, Mirpur, Dhaka",3 Bedroom,N/A,2826,3,1,148
Carpet  Area,20-Dec,"Mohammadpur, Dhaka",1 BHK,N/A,381 - 535,1,0,33.66
Built-up  Area,Ready To Move,"Mohammadpur, Dhaka",4 Bedroom,N/A,3500,4,0,150
Plot  Area,Ready To Move,"Dhanmondi, Dhaka",4 Bedroom,N/A,5400,4,,250
Plot  Area,Ready To Move,"Hazaribag, Dhaka",4 Bedroom,N/A,1000,5,2,200
Built-up  Area,Ready To Move,"Baridhara, Dhaka",3 BHK,N/A,1450,2,1,90
Super built-up  Area,Ready To Move,"Block C, Section 12, Mirpur, Dhaka",2 BHK,N/A,1100,2,1,65
Super built-up  Area,Ready To Move,"Block C, Section 12, Mirpur, Dhaka",2 BHK,N/A,1185,2,3,55
Built-up  Area,Ready To Move,"Block C, Section 12, Mirpur, Dhaka",4 Bedroom,N/A,1900,4,2,80
Plot  Area,Ready To Move,"Block B, Mansurabad Housing Society, Adabor, Dhaka",2 Bedroom,N/A,1200,2,1,70
Super built-up  Area,20-Apr,"Faydabad, East Azampur, Dakshin Khan, Dhaka",1 BHK,N/A,660,1,1,35
Super built-up  Area,Ready To Move,"Avenue 2, Mirpur DOHS, Mirpur, Dhaka",3 BHK,N/A,1920,4,2,121
Plot  Area,Ready To Move,"Block C, Bochila Garden City, Bochila, Mohammadpur, Dhaka",2 Bedroom,N/A,1200,2,0,130
Built-up  Area,Ready To Move,"Section 10, Mirpur, Dhaka",4 Bedroom,N/A,3418,,,222
Super built-up  Area,Ready To Move,"Block C, Bashundhara R-A, Dhaka",4 BHK,N/A,4550,2,1,240
Super built-up  Area,18-Sep,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,1205,2,1,68.32
Super built-up  Area,Ready To Move,"New Eskaton, Eskaton, Dhaka",2 BHK,N/A,1200,2,2,46
Super built-up  Area,Ready To Move,"Pallabi Extension, Pallabi, Mirpur, Dhaka",3 BHK,N/A,1421,2,2,73
Super built-up  Area,18-Aug,"Avenue 2, Mirpur DOHS, Mirpur, Dhaka",3 BHK,N/A,1250,3,3,48.9
Super built-up  Area,19-Dec,"Avenue 2, Mirpur DOHS, Mirpur, Dhaka",1 BHK,N/A,524,1,1,29
Built-up  Area,Ready To Move,"Avenue 2, Mirpur DOHS, Mirpur, Dhaka",5 Bedroom,N/A,4200,5,,245
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",3 BHK,N/A,1540,3,,90
Super built-up  Area,19-Nov,"Shegunbagicha, Dhaka",2 BHK,N/A,984,2,1,45.91
Super built-up  Area,20-Nov,"Mohammadpur, Dhaka",2 BHK,N/A,985,2,1,50.17
Built-up  Area,18-Jun,"Ahmed Nagar, Mirpur, Dhaka",4 BHK,N/A,2830,4,3,161
Super built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",2 BHK,N/A,1140,2,3,60
Built-up  Area,Ready To Move,"Motijheel, Dhaka",5 Bedroom,N/A,3600,5,3,130
Super built-up  Area,Ready To Move,"Tikatuli, Sutrapur, Dhaka",3 BHK,N/A,1410,2,3,44.42
Super built-up  Area,Ready To Move,"West Kafrul, Taltola, Agargaon, Dhaka",3 BHK,N/A,1700,2,2,86
Super built-up  Area,19-Dec,"Sector 12, Uttara, Dhaka",2 BHK,N/A,1230 - 1490,2,0,62.425
Plot  Area,Ready To Move,"Farmgate, Tejgaon, Dhaka",4 Bedroom,N/A,1800,3,2,700
Super built-up  Area,18-Apr,"Kalabagan, Dhaka",2 BHK,N/A,1333,2,1,86.65
Super built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",2 BHK,N/A,1258,2,1,85.5
Super built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",3 BHK,N/A,1458,2,2,87
Built-up  Area,Ready To Move,"Agargaon, Dhaka",2 BHK,N/A,1386,2,1,85
Built-up  Area,18-Aug,"South Banasree Project, Banasree, Dhaka",2 BHK,N/A,1140,2,1,32.92
Built-up  Area,Ready To Move,"Kathalbagan, Dhaka",1 RK,N/A,550,1,1,27
Super built-up  Area,Ready To Move,"Shyamoli, Dhaka",2 BHK,N/A,1200,2,3,83
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",2 BHK,N/A,1081,2,1,39
Super built-up  Area,Ready To Move,"East Monipur, Mirpur, Dhaka",4 BHK,N/A,2135,3,2,149
Built-up  Area,18-Aug,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",4 Bedroom,N/A,2500,4,0,100
Super built-up  Area,Ready To Move,"Block D, Section 6, Mirpur, Dhaka",2 BHK,N/A,1178,2,1,80
Super built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",2 BHK,N/A,991,2,2,40
Super built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",3 BHK,N/A,1493,2,3,90
Super built-up  Area,Ready To Move,"Badda, Dhaka",3 BHK,N/A,2495,3,3,130
Super built-up  Area,Ready To Move,"Dakshin Khan, Dhaka",2 BHK,N/A,1080,2,1,31.99
Super built-up  Area,Ready To Move,"Sector 14, Uttara, Dhaka",2 BHK,N/A,814,2,1,53
Super built-up  Area,Ready To Move,"Shahjahanpur, Dhaka",2 BHK,N/A,1025,2,1,50
Super built-up  Area,21-Dec,"Baitul Aman Housing Society, Adabor, Dhaka",2 BHK,N/A,1115,2,1,61
Super built-up  Area,Ready To Move,"3rd Colony, Mirpur, Dhaka",4 BHK,N/A,3075,2,3,188
Plot  Area,Ready To Move,"Middle Badda, Badda, Dhaka",7 Bedroom,N/A,1900,3,0,162
Super built-up  Area,Ready To Move,"Sector 7, Uttara, Dhaka",3 BHK,N/A,1760,3,2,160
Super built-up  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",7 BHK,N/A,4000,8,1,150
Built-up  Area,Ready To Move,"Katabon, New Market, Dhaka",4 Bedroom,N/A,3090,4,,350
Built-up  Area,Ready To Move,"Block E, South Banasree Project, Banasree, Dhaka",4 Bedroom,N/A,2700,4,3,295
Super built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",2 BHK,N/A,1175,2,2,52.86
Super built-up  Area,20-Dec,"Tallabag, Hazaribag, Dhaka",4 BHK,N/A,4235,5,3,364
Super built-up  Area,Ready To Move,"North Shahjahanpur, Shahjahanpur, Dhaka",2 BHK,N/A,1100,2,2,45
Plot  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",8 Bedroom,N/A,1200,7,1,175
Super built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",2 BHK,N/A,1450,2,2,50.75
Super built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",3 BHK,N/A,1810,3,3,131
Super built-up  Area,Ready To Move,"Shahjahanpur, Dhaka",3 BHK,N/A,1426,2,3,71
Built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",3 BHK,N/A,2400,2,3,195
Built-up  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",2 BHK,N/A,1100,2,1,70
Super built-up  Area,Ready To Move,"Block E, Section 2, Mirpur, Dhaka",1 BHK,N/A,650,1,1,35
Super built-up  Area,20-Dec,"Block E, Section 12, Mirpur, Dhaka",3 BHK,N/A,1350,3,2,47.25
Super built-up  Area,18-Dec,"North Shahjahanpur, Dhaka",2 BHK,N/A,900,2,1,27
Super built-up  Area,Ready To Move,"Block B, Section 12, Mirpur, Dhaka",2 BHK,N/A,1360,2,3,110
Super built-up  Area,Ready To Move,"Rajarbagh, Motijheel, Dhaka",1 BHK,N/A,674,1,1,36.85
Super built-up  Area,18-Jul,"Banani DOHS, Dhaka",3 BHK,N/A,1655,3,2,110
Plot  Area,Ready To Move,"Block E, Section 12, Mirpur, Dhaka",2 Bedroom,N/A,1300,2,2,95
Built-up  Area,19-Mar,"Baithakali, Badda, Dhaka",1 BHK,N/A,936,1,0,53
Super built-up  Area,Ready To Move,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",2 BHK,N/A,1277,2,2,92
Super built-up  Area,Ready To Move,"Sector 13, Uttara, Dhaka",2 BHK,N/A,1200,2,1,54
Super built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",2 BHK,N/A,1015,2,1,39.08
Super built-up  Area,Ready To Move,"Block C, Bashundhara R-A, Dhaka",2 BHK,N/A,1153,2,2,60
Super built-up  Area,Ready To Move,"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",2 BHK,N/A,1035,2,1,51.5
Built-up  Area,Ready To Move,"North Shahjahanpur, Dhaka",5 BHK,N/A,3300,3,1,255
Super built-up  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",2 BHK,N/A,1150,2,1,46
Super built-up  Area,Ready To Move,"Mohammadia Housing Society, Mohammadpur, Dhaka",2 BHK,N/A,1020,2,1,80
Super built-up  Area,18-Jun,"Mohammadia Housing Society, Mohammadpur, Dhaka",4 BHK,N/A,3630 - 3800,6,0,212.5
Super built-up  Area,Ready To Move,"Joar Sahara, Dhaka",2 BHK,N/A,1160,2,1,95
Super built-up  Area,Ready To Move,"Kallyanpur, Mirpur, Dhaka",3 BHK,N/A,1075,2,1,31
Built-up  Area,Ready To Move,"Kallyanpur, Mirpur, Dhaka",2 BHK,N/A,1225,2,2,72
Plot  Area,Ready To Move,"Kallyanpur, Mirpur, Dhaka",4 Bedroom,N/A,5000,5,3,950
Plot  Area,Ready To Move,"Block D, Section 12, Mirpur, Dhaka",2 Bedroom,N/A,1600,2,1,160
Plot  Area,Ready To Move,"Middle Paikpara, Mirpur, Dhaka",2 Bedroom,N/A,600,1,0,90
Built-up  Area,Ready To Move,"Mohammadpur, Dhaka",3 BHK,N/A,1350,3,2,60
Super built-up  Area,21-Oct,"Block C, Banasree, Dhaka",3 BHK,N/A,1300,3,1,69
Super built-up  Area,18-Dec,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",2 BHK,N/A,830,2,1,36.28
Super built-up  Area,Ready To Move,"Block C, Dhaka Uddan, Mohammadpur, Dhaka",2 BHK,N/A,1155,2,1,69.18
Super built-up  Area,Ready To Move,"Section 1, Mirpur, Dhaka",4 BHK,N/A,3126,5,3,345
Super built-up  Area,Ready To Move,"Chairman Para, Dakshin Khan, Dhaka",2 BHK,N/A,905,2,2,55
Super built-up  Area,Ready To Move,"East Kazipara, Mirpur, Dhaka",3 BHK,N/A,1375,2,0,75
Plot  Area,Immediate Possession,"East Kazipara, Mirpur, Dhaka",,N/A,1575,,,31.11
Super built-up  Area,18-Apr,"3rd Colony, Mirpur, Dhaka",2 BHK,N/A,1140,2,2,33.84
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",3 BHK,N/A,1550,2,2,60
Super built-up  Area,Ready To Move,"Sector 3, Uttara, Dhaka",2 BHK,N/A,957,2,1,55
Built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",2 BHK,N/A,890,2,2,45
Super built-up  Area,Ready To Move,"Jagannath Shaha Road, Amligola, Lalbagh, Dhaka",4 BHK,N/A,3000,4,2,235
Super built-up  Area,Ready To Move,"Badda, Dhaka",2 BHK,N/A,1070,2,1,55
Plot  Area,Ready To Move,"Sector 12, Uttara, Dhaka",5 Bedroom,N/A,2400,5,1,150
Plot  Area,Ready To Move,"Sector 12, Uttara, Dhaka",4 Bedroom,N/A,2400,4,2,595
Super built-up  Area,Ready To Move,"Sutrapur, Dhaka",2 BHK,N/A,925,2,1,37
Built-up  Area,Ready To Move,"Purana Paltan, Motijheel, Dhaka",2 BHK,N/A,1415,2,2,60
Plot  Area,Ready To Move,"Agargaon, Dhaka",1 Bedroom,N/A,500,2,0,80
Super built-up  Area,Ready To Move,"Badda, Dhaka",2 BHK,N/A,1225,2,1,37
Built-up  Area,Ready To Move,"Baitul Aman Housing Society, Adabor, Dhaka",4 Bedroom,N/A,2000,4,0,90
Super built-up  Area,19-Dec,"Block A, Dhaka Uddan, Mohammadpur, Dhaka",1 BHK,N/A,840,1,1,57
Plot  Area,Ready To Move,"Block A, Dhaka Uddan, Mohammadpur, Dhaka",9 Bedroom,N/A,1560,9,,200
Super built-up  Area,18-Dec,"Middle Paikpara, Mirpur, Dhaka",3 BHK,N/A,1732,3,1,112
Plot  Area,Ready To Move,"West Agargaon, Agargaon, Dhaka",1 Bedroom,N/A,1200,1,0,45
Super built-up  Area,Ready To Move,"Mirpur, Dhaka",2 BHK,N/A,1260,2,1,69.9
Super built-up  Area,Ready To Move,"Block A, Dhaka Uddan, Mohammadpur, Dhaka",2 BHK,N/A,1092,2,1,49
Super built-up  Area,Ready To Move,"Block A, Dhaka Uddan, Mohammadpur, Dhaka",2 BHK,N/A,827,2,0,34
Super built-up  Area,Ready To Move,"Eskaton, Dhaka",2 BHK,N/A,1357,2,2,54
Super built-up  Area,Ready To Move,"Block A, Sayednagar, East Vatara, Vatara, Badda, Dhaka",2 BHK,N/A,650,1,1,40
Super built-up  Area,Ready To Move,"Bashabo, Dhaka",3 BHK,N/A,1370,2,1,54.79
Super built-up  Area,Ready To Move,"Block A, Sayednagar, East Vatara, Vatara, Badda, Dhaka",3 BHK,N/A,1725,3,2,106
Built-up  Area,Ready To Move,"Purana Paltan, Motijheel, Dhaka",2 BHK,N/A,1000,2,0,70
Plot  Area,Ready To Move,"East Mollartek, Dakshin Khan, Dhaka",1 Bedroom,N/A,1350,1,0,55
Plot  Area,Ready To Move,"Uttar Badda, Badda, Dhaka",4 Bedroom,N/A,3200,4,2,350
Super built-up  Area,Ready To Move,"North Pirerbag, Pirerbag, Mirpur, Dhaka",3 BHK,N/A,1717,3,2,110
Super built-up  Area,21-Dec,"2nd Colony, Mirpur, Dhaka",2 BHK,N/A,700,2,1,34
Super built-up  Area,Ready To Move,"Kathalbagan, Dhaka",2 BHK,N/A,800,2,1,32
Super built-up  Area,Ready To Move,"Maghbazar, Dhaka",3 BHK,N/A,2367,4,3,340
Super built-up  Area,Ready To Move,"Shyamoli, Dhaka",3 BHK,N/A,1415,2,1,65
Super built-up  Area,19-Dec,"Shyamoli, Dhaka",3 BHK,N/A,1976,3,1,145
Super built-up  Area,Ready To Move,"Mohammadpur, Dhaka",2 BHK,N/A,883,2,1,37.01
Super built-up  Area,Ready To Move,"West Shewrapara, Mirpur, Dhaka",1 BHK,N/A,700,1,1,38
Super built-up  Area,Ready To Move,"Dhanmondi, Dhaka",3 BHK,N/A,1445,3,1,50
Super built-up  Area,19-Dec,"aziz Moholla, Mohammadpur, Dhaka",3 BHK,N/A,2082,3,2,104
Super built-up  Area,Ready To Move,"Nadda, Dhaka",2 BHK,N/A,1140,2,2,46
Super built-up  Area,Ready To Move,"Tajmahal Road, Mohammadpur, Dhaka",2 BHK,N/A,933,2,1,66
Plot  Area,Ready To Move,"Tajmahal Road, Mohammadpur, Dhaka",4 Bedroom,N/A,800,5,1,95.5
Built-up  Area,Ready To Move,"Block A, Section 10, Mirpur, Dhaka",2 BHK,N/A,1155,2,1,57
Super built-up  Area,Ready To Move,"Middle Paikpara, Mirpur, Dhaka",2 BHK,N/A,1130,2,1,36
Super built-up  Area,Ready To Move,"East Manikdi, Manikdi, Cantonment, Dhaka",2 BHK,N/A,1200,2,2,73.2
